time_s,acc_m_s2,delta_t_s
0.00500000,-1.0000200000e-02,5.00000000e-03
0.01000000,-2.0000600000e-02,5.00000000e-03
0.01500000,-1.0000900000e-02,5.00000000e-03
0.02000000,-4.1570700000e-07,5.00000000e-03
0.02500000,1.0000600000e-02,5.00000000e-03
0.03000000,2.0001400000e-02,5.00000000e-03
0.03500000,1.0001400000e-02,5.00000000e-03
0.04000000,5.4319000000e-07,5.00000000e-03
0.04500000,-1.0000600000e-02,5.00000000e-03
0.05000000,-2.0001200000e-02,5.00000000e-03
0.05500000,-1.0001000000e-02,5.00000000e-03
0.06000000,-4.2778500000e-08,5.00000000e-03
0.06500000,1.0000900000e-02,5.00000000e-03
0.07000000,2.0001500000e-02,5.00000000e-03
0.07500000,1.0001300000e-02,5.00000000e-03
0.08000000,3.7031900000e-07,5.00000000e-03
0.08500000,-1.0000900000e-02,5.00000000e-03
0.09000000,-2.0001900000e-02,5.00000000e-03
0.09500000,-1.0002100000e-02,5.00000000e-03
0.10000000,-1.1878000000e-06,5.00000000e-03
0.10500000,1.0000500000e-02,5.00000000e-03
0.11000000,2.0002000000e-02,5.00000000e-03
0.11500000,1.0002600000e-02,5.00000000e-03
0.12000000,1.8112200000e-06,5.00000000e-03
0.12500000,-9.9999100000e-03,5.00000000e-03
0.13000000,-2.0001500000e-02,5.00000000e-03
0.13500000,-1.0001900000e-02,5.00000000e-03
0.14000000,-7.0867600000e-07,5.00000000e-03
0.14500000,1.0001200000e-02,5.00000000e-03
0.15000000,2.0002800000e-02,5.00000000e-03
0.15500000,1.0002900000e-02,5.00000000e-03
0.16000000,1.2952400000e-06,5.00000000e-03
0.16500000,-1.0001000000e-02,5.00000000e-03
0.17000000,-2.0002700000e-02,5.00000000e-03
0.17500000,-1.0003000000e-02,5.00000000e-03
0.18000000,-1.6476900000e-06,5.00000000e-03
0.18500000,1.0000400000e-02,5.00000000e-03
0.19000000,2.0002100000e-02,5.00000000e-03
0.19500000,2.2480500000e-06,5.00000000e-03
0.20000000,1.0743500000e-06,5.00000000e-03
