period_s,psa_m_s2
0.01,2.1542611098221927
0.0106412,2.155288004871494
0.0113235,2.1566000214469656
0.0120495,2.158107076503462
0.0128221,2.159523503876596
0.0136442,2.161136082763601
0.014519,2.1641380147699647
0.01545,2.1688402057701426
0.0164406,2.1743976507914704
0.0174947,2.177494517764592
0.0186165,2.188828126224975
0.0198101,2.197525521975647
0.0210803,2.2187813023993153
0.0224319,2.25123283379896
0.0238702,2.1813623231632615
0.0254007,2.1582974278321148
0.0270293,2.201805568896788
0.0287624,2.1810660926248095
0.0306066,2.318312597877402
0.032569,2.280181537176997
0.0346572,2.207825925734161
0.0368794,2.2637367498068848
0.039244,2.3690132374879274
0.0417603,2.3883949985253663
0.0444378,2.2433259462993225
0.0472871,2.1622012302159312
0.050319,2.2136307210708352
0.0535454,2.2851585005994366
0.0569786,2.4620251369115707
0.0606319,2.991820593875978
0.0645195,2.9699711825125856
0.0686563,2.934699808004154
0.0730584,2.8188219411503117
0.0777428,2.4117889768651715
0.0827275,2.51484751377308
0.0880318,2.469221094775875
0.0936762,2.572971866441496
0.0996825,2.664029704015504
0.106074,2.89397199272161
0.112875,3.336318270901699
0.120112,3.548500904567671
0.127814,4.372232191559417
0.136009,4.888488308616027
0.14473,4.968301860188863
0.154009,6.2386238186285325
0.163884,7.474663886317203
0.174392,7.067013290654999
0.185573,6.643353675132239
0.197472,6.772821247552843
0.210134,4.8575364502397225
0.223607,4.316241846867087
0.237944,3.3139344633691477
0.2532,2.774703661305703
0.269435,3.4648653417859285
0.286711,2.928950037652917
0.305094,2.4687319213226036
0.324656,2.141246338113999
0.345472,1.9588131942020655
0.367623,2.0367357116151568
0.391194,1.9227180715169907
0.416277,1.800710472633568
0.442967,2.3767317910352403
0.471369,2.2060190825502044
0.501593,2.0985986947002444
0.533754,2.1937657970367397
0.567977,1.9820206878859026
0.604394,1.3106916948816416
0.643146,1.3822967999396059
0.684384,1.5759136243888976
0.728265,1.6607120551757508
0.774959,1.5924305388474354
0.824648,1.9619654865794594
0.877523,1.5919431013196021
0.933788,1.1239098690473392
0.99366,1.1057932256777232
1.05737,1.0279729063666099
1.12517,1.024071425700425
1.19731,1.0486012062593557
1.27408,0.9748189857010506
1.35577,0.8677569527789899
1.4427,0.7239495291258471
1.5352,0.5484784037309647
1.63364,0.509244089136887
1.73838,0.4394164239833753
1.84984,0.3580591884586438
1.96845,0.4139631473714898
2.09466,0.3958219240579001
2.22897,0.3438671833508235
2.37188,0.3321366696120824
2.52396,0.3785004803914672
2.6858,0.43953170852258305
2.858,0.4623144455613623
3.04125,0.46271077985860015
3.23625,0.4707558778420656
3.44375,0.4298332444413345
3.66456,0.3678834162683779
3.89952,0.3017826824827216
4.14955,0.25110195631864124
4.41561,0.2270508663152673
4.69873,0.21748915727343202
5.0,0.22336720886899586
5.32059,0.21689090139032413
5.66173,0.21901248876755078
6.02475,0.2209526257963474
6.41104,0.22074301786506345
6.82211,0.2118932846471653
7.25952,0.20158280543287838
7.72499,0.18771856935672682
8.2203,0.18594744078542869
8.74737,0.18200076712592073
9.30823,0.16905771551308266
9.90505,0.15587163995343856
10.0,0.1536563167738916
